COURSEID,TITLE,SESSION,DAY,START_TIME,END_TIME,LOCATION,INSTRUCTOR
MEDS-315,"Human Anatomy, Physiology, and the Technology of Medicine",001,M,10:00,11:50,WPH,"Emily Rose"
MEDS-320,"Human Cadaveric Anatomy",001,T,15:00,16:50,WPH,"Michael Habib"
MEDS-320,"Human Cadaveric Anatomy",001,H,15:00,16:50,WPH,"Michael Habib"
MEDS-340,"The Brain in Health and Disease",001,W,16:00,17:50,VKC,"Susie Kim"
MEDS-340,"The Brain in Health and Disease",001,F,16:00,17:50,VKC,"Susie Kim"
MEDS-350,"Neurochemistry of Addiction: Drugs, Brain, and Behavior",001,H,16:00,17:50,THH,"Lina Augius"
MEDS-370,"Organ Failure: Non-Communicable Chronic Disease",001,W,08:00,09:50,VKC,"Janak Chandrasoma"
MEDS-380,"Stem Cells: Fact and Fiction",001,H,16:00,17:50,VKC,"Gage Crump"
MEDS-420,"Clinical Pediatrics",001,M,08:00,09:50,VKC,"Parul Bhatia"
MEDS-425,"Medical Examiner-Coroner: Investigating Death",001,W,14:00,15:50,MRF,"Lakshmanan Sathyavagiswaran"
MEDS-445,"Cancer: Introduction to Oncology in the Modern Era",001,W,10:00,11:50,MRF,"Lakshmanan Sathyavagiswaran"
MEDS-450,"OB/GYN: The Medicine and Surgery of Reproduction",001,H,14:00,15:50,VKC,"Ramen Chmait"
MEDS-455,"Integrative Health Care",001,F,08:00,09:50,VKC,"Madhu Hardasmalani"
MEDS-460,"Emergency Health Care",001,F,10:00,11:50,KDC,"Madhu Hardasmalani"
MEDS-465,"Wilderness and Survival Medicine",001,T,12:00,13:50,THH,"Matthieu De Clerck"
MEDS-465,"Wilderness and Survival Medicine",001,H,12:00,13:50,THH,"Matthieu De Clerck"
MEDS-490,"Directed Research in Biomedical Science",001,F,15:00,18:00,THH,"Danica Liberman"
MEDS-502,"Global Epidemiology of Diseases and Risk Factors",046,T,09:00,10:50,MCH,"Gilda Noori"
MEDS-502,"Global Epidemiology of Diseases and Risk Factors",046,H,09:00,10:50,MCH,"Gilda Noori"
MEDS-511,"Global Health Modules, Tuberculosis",046,T,11:00,12:50,MCH,"Aninda Das"
MEDS-512,"Global Health Modules, Maternal and Child Health",046,M,09:00,10:50,MCH,"Gitanjli Arora"
MEDS-518,"Children in Emergency Situations: Global Policies and Programs",046,H,15:00,16:50,MCH,"Maryam Farzanegan"
MEDS-520,"Medical Spanish for the Health Professions",046,T,15:00,16:50,MCH,"David Zarazua"
MEDS-521,"Emerging and Re-emerging Infectious Diseases",046,T,13:00,14:50,MCH,"Noah Wald-Dickler"
MEDS-523,"Global Toxicity and Carcinogenesis",046,M,16:00,17:50,MCH,"Susie Kim"
MEDS-524,"Grant Writing for Non-Government Organizations",046,T,17:00,18:50,MCH,"Monica Gomez"
MEDS-525,"Global Mental Health",046,W,16:00,17:50,MCH,"David Baron"
MEDS-528,"Global Health Modules, Sexually Transmitted Infections",046,W,13:00,14:50,MCH,"Alexandra Portaro"
MEDS-530B,"Foundation of Medicine: Anatomy, Physiology, and Pathology",046,M,09:00,10:50,MCA,"Mansour Rostami"
MEDS-530B,"Foundation of Medicine: Anatomy, Physiology, and Pathology",046,W,09:00,10:50,MCA,"Mansour Rostami"
MEDS-530C,"Foundation of Medicine: Anatomy, Physiology, and Pathology",046,M,11:00,12:50,MCH,"Mansour Rostami"
MEDS-530C,"Foundation of Medicine: Anatomy, Physiology, and Pathology",046,W,11:00,12:50,MCH,"Mansour Rostami"
MEDS-567,"Global Nutrition",046,F,09:00,10:50,MCH,"Roger Clemens"
MEDS-577,"Global Palliative Care",046,M,13:00,14:50,MCH,"Benjamin La Brot"
MEDS-580,"Interprofessional Team Dynamics in Healthcare",046,M,18:00,19:50,MCA,"Navid Pour-Ghasemi"
MEDS-580,"Interprofessional Team Dynamics in Healthcare",046,W,18:00,19:50,MCA,"Navid Pour-Ghasemi"
MEDS-599,"Special Topics",046,H,11:00,12:50,MCA,"Miguel Basanez"
NIIN-520,"Experimental Design for Neuroimaging",001,M,10:00,11:00,"","Judy Pa"
NIIN-520,"Experimental Design for Neuroimaging",001,W,10:00,12:00,"","Judy Pa"
NIIN-550,"Computational Modeling in Neuroimaging",046,M,09:00,09:50,"","Yonggang Shi"
NIIN-550,"Computational Modeling in Neuroimaging",046,W,13:00,15:00,"","Yonggang Shi"
NIIN-560,"Brain Architecture and Neuroanatomic Exploratory Techniques",046,T,09:00,09:50,"","Hong Wei Dong"
NIIN-560,"Brain Architecture and Neuroanatomic Exploratory Techniques",046,H,09:00,11:00,"","Hong Wei Dong"
NIIN-570,"Neuroimaging Genetics",046,T,10:00,10:50,"","Meredith Braskie"
NIIN-570,"Neuroimaging Genetics",046,H,13:00,14:50,"","Meredith Braskie"
NIIN-598,"Neuroimaging and Informatics External Speaker Seminar Series",046,H,15:00,16:00,"","John Van Horn"
PT-530A,"Therapeutic Exercise",957,W,TBA,TBA,OFFICE,"Liz Poppert"
PT-530A,"Therapeutic Exercise",957,H,12:00,13:30,ONLINE,"Kimiko Yamada"
PT-554,"Analytical Anatomy",957,F,TBA,TBA,OFFICE,"Kornelia Kulig"
PT-554,"Analytical Anatomy",957,M,10:00,12:00,ONLINE,"K Michael Rowley"
PT-561B,"Evidence for Physical Therapist Practice",957,W,TBA,TBA,OFFICE,"Clarisa Martinez"
PT-561B,"Evidence for Physical Therapist Practice",957,H,11:30,12:30,ONLINE,"Clarisa Martinez"
PT-566,"Disorders of the Musculoskeletal System",957,M,10:30,11:30,ONLINE,"Eric Robertson"
PT-566,"Disorders of the Musculoskeletal System",957,T,12:00,12:55,ONLINE,"Scott Freedman"
PT-566,"Disorders of the Musculoskeletal System",957,W,12:00,13:00,ONLINE,"Chukwuemeka Nwigwe"
PT-574,"Clinical Biomechanics",957,T,TBA,TBA,OFFICE,"Chris Powers"
PT-574,"Clinical Biomechanics",957,W,13:30,15:30,ONLINE,"Pamela Mikkelsen"
PT-600A,"Clinical Experience",957,T,13:00,14:00,ONLINE,"Valerie Teglia"
PT-621,"Clinical Management of the Patient with Musculoskeletal Dysfunction",957,T,TBA,TBA,OFFICE,"Michael Andersen"
PT-621,"Clinical Management of the Patient with Musculoskeletal Dysfunction",957,H,TBA,TBA,OFFICE,"Michael Andersen"
PT-621,"Clinical Management of the Patient with Musculoskeletal Dysfunction",957,F,12:00,14:00,ONLINE,"Mary Derrick"
PT-630,"Integrated Patient Management Clinical Skills",957,T,13:00,16:50,ONLINE,"Daniel Kirages"
PT-632,"Integrated Patient Management Seminar",957,T,08:00,11:50,ONLINE,"Jason Cozby"
PT-632,"Integrated Patient Management Seminar",957,H,08:00,11:50,ONLINE,"Jason Cozby"
ASCJ-200,"Navigating Media and News in the Digital Age",001,H,12:30,13:50,ANN,"Leslie Ridings"
ASCJ-200,"Navigating Media and News in the Digital Age",001,T,12:30,13:50,ANN,"Alexandra Garreton"
ASCJ-210,"Contours of Change in Media and Communication",001,T,11:00,12:20,"ANN L","Mark Lloyd"
ASCJ-210,"Contours of Change in Media and Communication",001,H,11:00,12:20,"ANN L","Mark Lloyd"
ASCJ-210,"Contours of Change in Media and Communication",001,W,11:00,11:50,ANN,"Ellen Ford"
GSBA-504B,"Operations Management",415,M,14:00,15:20,BRIA,"Hiroshi Ochiumi"
GSBA-504B,"Operations Management",415,W,14:00,15:20,BRIA,"Hiroshi Ochiumi"
GSBA-520,"Business Fundamentals for Non-Business Professionals",001,T,18:30,21:30,ACC,"Merle Hopkins"
GSBA-523T,"Communication for Accounting and Tax Professionals",378,M,17:30,19:00,ONLINE,"Kirk Snyder"
GSBA-523T,"Communication for Accounting and Tax Professionals",001,M,17:30,19:00,ONLINE,"Kirk Snyder"
GSBA-529,"Strategic Formulation for Competitive Advantage",033,T,18:30,21:30,JKP,"Christine El Haddad"
GSBA-548,"Corporate Finance",033,M,11:00,12:20,DEN@Viterbi,"Duke Bristow"
GSBA-548,"Corporate Finance",033,W,11:00,12:20,DEN@Viterbi,"Duke Bristow"
GSBA-555,"Management and Organization of the Creative Industries",033,W,18:30,21:30,BRI,"Mark Young"
GSBA-612,"Selected Issues in Economic Theory II",033,T,10:00,11:50,HOH,"Joao Antunes Ramos"
GSBA-612,"Selected Issues in Economic Theory II",033,H,10:00,11:50,HOH,"Joao Antunes Ramos"
ARAB-122,"Arabic I",001,M,11:00,11:50,THH,"Muhammad Alkhudair"
ARAB-122,"Arabic I",001,T,11:00,11:50,THH,"Muhammad Alkhudair"
ARAB-122,"Arabic I",001,W,11:00,11:50,THH,"Muhammad Alkhudair"
ARAB-122,"Arabic I",001,H,11:00,11:50,THH,"Muhammad Alkhudair"
ARAB-152,"Arabic II",001,M,09:00,09:50,THH,"Muhammad Alkhudair"
ARAB-152,"Arabic II",001,T,09:00,09:50,THH,"Muhammad Alkhudair"
ARAB-152,"Arabic II",001,W,09:00,09:50,THH,"Muhammad Alkhudair"
ARAB-152,"Arabic II",001,H,09:00,09:50,THH,"Muhammad Alkhudair"
ARAB-222,"Arabic III",001,M,11:00,11:50,THH,"Sozan Wali"
ARAB-222,"Arabic III",001,T,11:00,11:50,THH,"Sozan Wali"
ARAB-222,"Arabic III",001,W,11:00,11:50,THH,"Sozan Wali"
ARAB-222,"Arabic III",001,H,11:00,11:50,THH,"Sozan Wali"
ARAB-252,"Arabic IV",001,T,12:00,13:50,WPH,"Muhammad Alkhudair"
ARAB-252,"Arabic IV",001,H,12:00,13:50,WPH,"Muhammad Alkhudair"
ARAB-300,"Introduction to Translation",001,M,10:00,10:50,THH,"Sozan Wali"
ARAB-300,"Introduction to Translation",001,W,10:00,10:50,THH,"Sozan Wali"
ARAB-300,"Introduction to Translation",001,F,10:00,10:50,THH,"Sozan Wali"
ARAB-352,"Advanced Arabic II",001,T,14:00,15:50,GFS,"Sozan Wali"
ARAB-352,"Advanced Arabic II",001,H,14:00,15:50,GFS,"Sozan Wali"
ACCT-370,"External Financial Reporting Issues",001,M,12:00,13:50,ACC,"Smrity Randhawa"
ACCT-370,"External Financial Reporting Issues",001,W,12:00,13:50,ACC,"Smrity Randhawa"
ACCT-370,"External Financial Reporting Issues",001,F,10:00,11:50,"HOH EDI","Smrity Randhawa"
ACCT-371,"Introduction to Accounting Systems",001,T,16:00,17:50,ACC,"Mike Lee"
ACCT-371,"Introduction to Accounting Systems",001,H,16:00,17:50,ACC,"Mike Lee"
ACCT-371,"Introduction to Accounting Systems",001,F,TBA,TBA,OFFICE,"Mike Lee"
ACCT-372,"Internal Reporting Issues",442,M,14:00,15:50,ACC,"Cecil Jackson"
ACCT-372,"Internal Reporting Issues",442,W,14:00,15:50,ACC,"Cecil Jackson"
ACCT-372,"Internal Reporting Issues",442,T,14:00,15:50,ACC,"Cecil Jackson"
ACCT-372,"Internal Reporting Issues",442,H,14:00,15:50,ACC,"Cecil Jackson"
ACCT-373,"Introduction to Auditing and Assurance Services",431,M,12:00,13:50,BRI,"Rose Layton"
ACCT-373,"Introduction to Auditing and Assurance Services",431,W,12:00,13:50,BRI,"Rose Layton"
ACCT-373,"Introduction to Auditing and Assurance Services",431,F,10:00,11:50,"JFF LL","Rose Layton"
ACCT-374,"Introduction to Tax Issues",431,M,14:00,15:50,ACC,"Charles Swenson"
ACCT-374,"Introduction to Tax Issues",431,W,14:00,15:50,ACC,"Charles Swenson"
ACCT-374,"Introduction to Tax Issues",431,T,14:00,15:50,ACC,"Charles Swenson"
ACCT-374,"Introduction to Tax Issues",431,H,14:00,15:50,ACC,"Charles Swenson"
ACCT-377,"Valuation for Financial Statement Purposes",442,M,12:00,13:50,BRI,"Tom Ryan"
ACCT-377,"Valuation for Financial Statement Purposes",442,W,12:00,13:50,BRI,"Tom Ryan"
ACCT-380,"Introduction to Enterprise Risk Management",001,T,10:00,11:50,BRI,"Kristen Jaconi"
ACCT-380,"Introduction to Enterprise Risk Management",001,H,10:00,11:50,BRI,"Kristen Jaconi"
ACCT-410,"Foundations of Accounting",001,M,14:00,15:50,ACC,"Regina Wittenberg Moerman"
ACCT-410,"Foundations of Accounting",001,W,14:00,15:50,ACC,"Regina Wittenberg Moerman"
ACCT-410,"Foundations of Accounting",001,T,14:00,15:50,JFF,"Chrislynn Freed"
ACCT-410,"Foundations of Accounting",001,H,14:00,15:50,JFF,"Chrislynn Freed"
ACCT-415,"Intermediate Financial Accounting for Non-Accounting Majors",001,T,16:00,17:50,JFF,"Tom Ryan"
ACCT-415,"Intermediate Financial Accounting for Non-Accounting Majors",001,H,16:00,17:50,JFF,"Tom Ryan"
ACCT-416,"Financial Reporting and Analysis",431,T,12:00,13:50,JFF,"James Leonetti"
ACCT-416,"Financial Reporting and Analysis",431,H,12:00,13:50,JFF,"James Leonetti"
ACCT-430,"Accounting Ethics",001,M,12:00,13:50,ACC,"Harris Smith"
ACCT-430,"Accounting Ethics",001,W,12:00,13:50,ACC,"Harris Smith"
ACCT-430,"Accounting Ethics",001,F,12:30,13:50,"HOH EDI","Gregory Kling"
ACCT-462,"Detecting Fraudulent Financial Reporting",431,M,16:00,17:50,BRI,"Cecil Jackson"
ACCT-462,"Detecting Fraudulent Financial Reporting",431,W,16:00,17:50,BRI,"Cecil Jackson"
ACCT-470,"Advanced External Financial Reporting Issues",001,M,16:00,17:50,ACC,"Kendall Simmonds"
ACCT-470,"Advanced External Financial Reporting Issues",001,W,16:00,17:50,ACC,"Kendall Simmonds"
ACCT-473,"Financial Statement Auditing",442,M,12:00,13:50,JFF,"Rose Layton"
ACCT-473,"Financial Statement Auditing",442,W,12:00,13:50,JFF,"Rose Layton"
ACCT-473,"Financial Statement Auditing",442,F,10:00,11:50,"JFF LL","Rose Layton"
ACCT-474,"Tax Issues for Business",442,T,16:00,17:50,ACC,"Shiing-Wu Wang"
ACCT-474,"Tax Issues for Business",442,H,16:00,17:50,ACC,"Shiing-Wu Wang"
ACCT-493,"Leventhal Honors Research Seminar",001,T,14:00,15:50,BRI,"Julie Suh"
ACCT-499,"Special Topics",001,T,16:00,17:50,BRI,"Kristen Jaconi"
ACCT-499,"Special Topics",001,H,14:00,14:50,BRI,"Julie Suh"
ACCT-499,"Special Topics",431,T,16:00,17:50,ACC,"Shiing-Wu Wang"
ACCT-499,"Special Topics",431,H,16:00,17:50,ACC,"Shiing-Wu Wang"
ACCT-526,"Global Accounting Experience",001,F,09:30,10:50,JKP,"Shiing-Wu Wang"
ACCT-530,"Ethics for Professional Accountants",001,M,15:30,16:50,JKP,"Harris Smith"
ACCT-530,"Ethics for Professional Accountants",001,W,15:30,16:50,JKP,"Harris Smith"
ACCT-530,"Ethics for Professional Accountants",001,F,12:30,13:50,TBA,"Gregory Kling"
ACCT-532,"Financial Accounting for Mergers and Acquisitions",442,T,11:00,12:20,JKP,"George Braunegg"
ACCT-532,"Financial Accounting for Mergers and Acquisitions",442,H,11:00,12:20,JKP,"George Braunegg"
ACCT-532,"Financial Accounting for Mergers and Acquisitions",415,T,11:00,12:20,JKP,"George Braunegg"
ACCT-532,"Financial Accounting for Mergers and Acquisitions",415,H,11:00,12:20,JKP,"George Braunegg"
ACCT-533,"Mergers and Acquisitions: Tax Planning and Strategy",431,T,11:00,12:20,JKP,"Shiing-Wu Wang"
ACCT-533,"Mergers and Acquisitions: Tax Planning and Strategy",431,H,11:00,12:20,JKP,"Shiing-Wu Wang"
ACCT-533,"Mergers and Acquisitions: Tax Planning and Strategy",411,T,11:00,12:20,JKP,"Shiing-Wu Wang"
ACCT-533,"Mergers and Acquisitions: Tax Planning and Strategy",411,H,11:00,12:20,JKP,"Shiing-Wu Wang"
ACCT-537,"Performance Measurement, Evaluation, and Incentives",001,T,15:30,16:50,JKP,"Xin Li"
ACCT-537,"Performance Measurement, Evaluation, and Incentives",001,H,15:30,16:50,JKP,"Xin Li"
ACCT-537,"Performance Measurement, Evaluation, and Incentives",033,T,15:30,16:50,JKP,"Xin Li"
ACCT-537,"Performance Measurement, Evaluation, and Incentives",033,H,15:30,16:50,JKP,"Xin Li"
ACCT-551T,"Taxation of Partnerships and S-Corps",378,H,17:30,19:00,ONLINE,"Patricia Mills"
ACCT-551T,"Taxation of Partnerships and S-Corps",001,H,19:30,21:00,JKP,"Patricia Mills"
ACCT-557,"Advanced Financial Statement Auditing Topics",001,M,14:00,15:20,JKP,"Clive Lennox"
ACCT-557,"Advanced Financial Statement Auditing Topics",001,W,14:00,15:20,JKP,"Clive Lennox"
ACCT-558,"Advanced Accounting Valuation",415,T,14:00,15:20,BRI,"Tony Aaron"
ACCT-558,"Advanced Accounting Valuation",415,H,14:00,15:20,BRI,"Tony Aaron"
ACCT-558,"Advanced Accounting Valuation",442,T,14:00,15:20,BRI,"Tony Aaron"
ACCT-558,"Advanced Accounting Valuation",442,H,14:00,15:20,BRI,"Tony Aaron"
ACCT-559,"Strategy and Operations Through CFO Lens",001,T,08:00,09:20,JKP,"John Owens"
ACCT-559,"Strategy and Operations Through CFO Lens",001,H,08:00,09:20,JKP,"John Owens"
ACCT-559,"Strategy and Operations Through CFO Lens",033,T,08:00,09:20,JKP,"John Owens"
ACCT-559,"Strategy and Operations Through CFO Lens",033,H,08:00,09:20,JKP,"John Owens"
ACCT-562,"Methods and Motivations of Financial Reporting Fraud",431,M,14:00,15:20,JKP,"Cecil Jackson"
ACCT-562,"Methods and Motivations of Financial Reporting Fraud",431,W,14:00,15:20,JKP,"Cecil Jackson"
ACCT-568T,"International Taxation",001,T,09:30,10:50,JKP,"Shiing-Wu Wang"
ACCT-568T,"International Taxation",001,H,09:30,10:50,JKP,"Shiing-Wu Wang"
ACCT-569T,"Advanced Partnership Taxation",001,T,14:00,15:20,JKP,"Patricia Mills"
ACCT-569T,"Advanced Partnership Taxation",001,H,14:00,15:20,JKP,"Patricia Mills"
ACCT-570T,"State and Local Tax Concepts",378,M,17:30,19:00,ONLINE,"Charles Swenson"
ACCT-570T,"State and Local Tax Concepts",001,M,19:30,21:30,BRI,"Charles Swenson"
ACCT-571T,"Taxation of Individuals",001,M,12:30,13:50,JKP,"Gregory Kling"
ACCT-571T,"Taxation of Individuals",001,W,12:30,13:50,JKP,"Gregory Kling"
ACCT-572,"Corporate Accounting and Reporting",033,M,18:30,21:30,JKP,"Harris Smith"
ACCT-574,"Accounting and Corporate Governance in Global Business",001,T,12:30,13:50,JKP,"T J Wong"
ACCT-574,"Accounting and Corporate Governance in Global Business",001,H,12:30,13:50,JKP,"T J Wong"
ACCT-574,"Accounting and Corporate Governance in Global Business",033,T,12:30,13:50,JKP,"T J Wong"
ACCT-574,"Accounting and Corporate Governance in Global Business",033,H,12:30,13:50,JKP,"T J Wong"
ACCT-580T,"Tax Accounting Methods",001,T,19:30,21:00,BRI,"David Boschetto"
ACCT-580T,"Tax Accounting Methods",378,T,17:30,19:00,ONLINE,"David Boschetto"
ACCT-581,"Financial Statement Analysis",001,T,17:00,18:20,JKP,"James Leonetti"
ACCT-581,"Financial Statement Analysis",001,H,17:00,18:20,JKP,"James Leonetti"
ACCT-581,"Financial Statement Analysis",033,T,17:00,18:20,JKP,"James Leonetti"
ACCT-581,"Financial Statement Analysis",033,H,17:00,18:20,JKP,"James Leonetti"
ACCT-583,"Income Tax Accounting and Auditing",001,M,11:00,12:20,JKP,"Paul Bader"
ACCT-583,"Income Tax Accounting and Auditing",001,W,11:00,12:20,JKP,"Paul Bader"
ACCT-584,"Family Wealth Preservation",001,W,18:30,21:30,JKP,"Jack Barcal"
ACCT-584,"Family Wealth Preservation",033,W,18:30,21:30,JKP,"Jack Barcal"
ACCT-584,"Family Wealth Preservation",378,W,17:30,19:00,ONLINE,"Cynthia Gensler"
ACCT-585,"Professional Responsibilities in Accounting",001,M,11:00,12:20,JKP,"Lori Smith"
ACCT-585,"Professional Responsibilities in Accounting",001,W,11:00,12:20,JKP,"Lori Smith"
ACCT-611,"Selected Topics in Accounting Research",033,F,09:30,10:50,ACC,"Mark Soliman"
ACCT-630,"Auditing and Archival Research",033,F,12:30,16:50,ACC,"Clive Lennox"
PHRD-556,"Pharmacy Education 2",004,T,12:00,13:00,"PSC B","Angel P Tabancay Jr"
PHRD-569,"Principles and Leadership in Community Health 2",004,M,13:00,14:00,PSCA,"Richard Dang"
PHRD-652,"Community Pharmacy and Business Management II",480,M,13:00,17:00,PSC,"Raffi Svadjian"
PHRD-654,"Health Systems Pharmacy II",480,M,13:00,17:00,CHP,"Kevin Forrester"
PHRD-656,"Geriatric Pharmacy II",480,M,13:00,17:00,"CHP G","Tatyana Gurvich"
PHRD-657,"Basic Research Design",480,M,13:00,17:00,OFFICE,"Curtis Okamoto"
PHRD-664,"Clinical Problem Solving",004,M,TBA,TBA,OFFICE,"Stan Louie"
PHRD-665,"Complementary/Alternative Therapeutics",480,M,13:00,17:00,PSC,"James Adams"
PHRD-669,"Health Care Needs of Special Populations",480,M,13:00,17:00,"CHP G","Mel Baron"
PHRD-670,"Marketing and Development in the Pharmaceutical Industry",480,M,13:00,17:00,"CHP G","Edward Lieskovan"
PHRD-679,"Toxicology and the Media",005,M,13:00,14:50,TBA,"Martine Culty"
SCOR-405,"Introduction to Scoring Video Games",001,H,10:00,11:50,"TMC G","Garry Schyman"
SCOR-502,"Individual Instruction in Advanced Screen Scoring",001,W,14:00,15:50,"TMC AUD","Daniel Carlin"
SCOR-503B,"Advanced Scoring for Motion Pictures and Television",001,T,19:30,21:30,TMC,"Robert Young"
SCOR-504B,"Orchestral Scoring",001,M,10:00,11:50,"TMC AUD","Bruce Broughton"
SCOR-505B,"Advanced Game Scoring and Integration",001,H,12:30,14:20,"TMC G","Garry Schyman"
SCOR-506,"Applied Techniques in Contemporary Scoring",001,T,10:00,11:50,"TMC G","Patrick Kirst"
SCOR-511B,"History of Film Scoring",001,W,12:00,13:50,"TMC G","Jon Burlingame"
SCOR-521B,"Recording, Mixing and Editing for the Screen Composer",001,W,10:00,11:50,"TMC G","Richard Mc Ilvery"
SCOR-523B,"Advanced Screen Scoring Technology",001,F,10:00,11:50,"TMC G","Patrick Kirst"
SOWK-350,"Adolescent Gang Intervention",001,M,16:00,17:50,SWC,"Raymundo Zacarias"
